monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
7,July,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871961
8,August,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871962
9,September,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871963
10,October,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871964
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871965
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871966
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871967
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871968
3,March,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871969
4,April,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871970
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871971
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871972
7,July,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871973
8,August,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871974
9,September,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871975
10,October,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871976
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871977
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724683,185871978
1,January,,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871979
2,February,,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871980
9,September,,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871981
10,October,,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871982
11,November,,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871983
12,December,,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871984
5,May,Frequent,Brief (2 to 7 days),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871985
6,June,Frequent,Brief (2 to 7 days),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871986
7,July,Frequent,Brief (2 to 7 days),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871987
8,August,Frequent,Brief (2 to 7 days),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871988
3,March,,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871989
4,April,,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724684,185871990
