monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868606
4,April,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868607
8,August,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868608
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868609
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868610
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868611
7,July,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868612
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868613
3,March,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868614
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868615
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868616
10,October,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868617
9,September,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724385,185868618
